# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	angle_w2	x_iscs	y_iscs	z_iscs	angle_iscs
-1199.86017	927.96267	137.00000	1419.98053	-22.56493	0.00000	0.30000	1420.00000	-0.00000	0.00000	0.00000
-1216.24322	939.43420	137.00000	1439.98026	-22.46021	0.00000	0.30000	1440.00000	-0.00000	0.00000	0.00000
-1232.62626	950.90572	137.00000	1459.97999	-22.35549	0.00000	0.30000	1460.00000	0.00000	0.00000	0.00000
-1249.00930	962.37725	137.00000	1479.97971	-22.25077	0.00000	0.30000	1480.00000	0.00000	0.00000	0.00000
-1265.39234	973.84878	137.00000	1499.97944	-22.14605	0.00000	0.30000	1500.00000	-0.00000	0.00000	0.00000
-1281.77538	985.32031	137.00000	1519.97916	-22.04133	0.00000	0.30000	1520.00000	-0.00000	0.00000	0.00000
-1298.15842	996.79184	137.00000	1539.97889	-21.93662	0.00000	0.30000	1540.00000	-0.00000	0.00000	0.00000
-1314.54146	1008.26337	137.00000	1559.97862	-21.83190	0.00000	0.30000	1560.00000	-0.00000	0.00000	0.00000
-1330.92450	1019.73490	137.00000	1579.97834	-21.72718	0.00000	0.30000	1580.00000	-0.00000	0.00000	0.00000
-1347.30754	1031.20643	137.00000	1599.97807	-21.62246	0.00000	0.30000	1600.00000	0.00000	0.00000	0.00000
-1363.69058	1042.67795	137.00000	1619.97779	-21.51774	0.00000	0.30000	1620.00000	-0.00000	0.00000	0.00000
-1380.07362	1054.14948	137.00000	1639.97752	-21.41302	0.00000	0.30000	1640.00000	-0.00000	0.00000	0.00000
-1396.45666	1065.62101	137.00000	1659.97725	-21.30830	0.00000	0.30000	1660.00000	-0.00000	0.00000	0.00000
-1412.83971	1077.09254	137.00000	1679.97697	-21.20358	0.00000	0.30000	1680.00000	0.00000	0.00000	0.00000
-1429.22275	1088.56407	137.00000	1699.97670	-21.09886	0.00000	0.30000	1700.00000	-0.00000	0.00000	0.00000
-1445.60579	1100.03560	137.00000	1719.97642	-20.99414	0.00000	0.30000	1720.00000	-0.00000	0.00000	0.00000
-1461.98883	1111.50713	137.00000	1739.97615	-20.88942	0.00000	0.30000	1740.00000	0.00000	0.00000	0.00000
-1478.37187	1122.97866	137.00000	1759.97587	-20.78470	0.00000	0.30000	1760.00000	-0.00000	0.00000	0.00000
-1494.75491	1134.45018	137.00000	1779.97560	-20.67998	0.00000	0.30000	1780.00000	-0.00000	0.00000	0.00000
-1511.13795	1145.92171	137.00000	1799.97533	-20.57527	0.00000	0.30000	1800.00000	0.00000	0.00000	0.00000
-1527.52099	1157.39324	137.00000	1819.97505	-20.47055	0.00000	0.30000	1820.00000	-0.00000	0.00000	0.00000
-1543.90403	1168.86477	137.00000	1839.97478	-20.36583	0.00000	0.30000	1840.00000	-0.00000	0.00000	0.00000
-1560.28707	1180.33630	137.00000	1859.97450	-20.26111	0.00000	0.30000	1860.00000	-0.00000	0.00000	0.00000
-1576.67011	1191.80783	137.00000	1879.97423	-20.15639	0.00000	0.30000	1880.00000	-0.00000	0.00000	0.00000
-1593.05316	1203.27936	137.00000	1899.97396	-20.05167	0.00000	0.30000	1900.00000	0.00000	0.00000	0.00000
-1609.43620	1214.75089	137.00000	1919.97368	-19.94695	0.00000	0.30000	1920.00000	0.00000	0.00000	0.00000
-1625.81924	1226.22241	137.00000	1939.97341	-19.84223	0.00000	0.30000	1940.00000	0.00000	0.00000	0.00000
-1642.20228	1237.69394	137.00000	1959.97313	-19.73751	0.00000	0.30000	1960.00000	-0.00000	0.00000	0.00000
-1658.58532	1249.16547	137.00000	1979.97286	-19.63279	0.00000	0.30000	1980.00000	0.00000	0.00000	0.00000
-1674.96836	1260.63700	137.00000	1999.97258	-19.52807	0.00000	0.30000	2000.00000	-0.00000	0.00000	0.00000
-1691.35140	1272.10853	137.00000	2019.97231	-19.42335	0.00000	0.30000	2020.00000	-0.00000	0.00000	0.00000
