# Generated by module: beer.components
# Date:	May 11, 2023, 14:33:31
# Version:	1.9
ID	start	end	length	type	name	w1	w2	h1	h2	ctr1	ctr2	mL	mR	mT	mB	geomH	geomV	mater	comment
 	11524.0	11527.0	3.0	air	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	11527.0	11527.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	11527.5	11529.0	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-10-02	11529.0	15000.0	3471.0	optics	GE1B	20.00	20.00	77.65	80.00	29.78	42.29	3	2.5	3	3	curved, R=-2.000 km, parallel	ellipse(a:14423, b:40, ctr:15000), expanding	Al	NOTE: bent & vertically expanding !
W02-11	15000.0	24499.0	9499.0	optics	GN1	20.00	20.00	80.00	80.00	42.29	45.72	3	2.5	2	2	curved, R=-2.000 km, parallel	straight, parallel	Al	 
 	24499.0	24500.0	1.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-12	24500.0	27998.0	3498.0	optics	GN2	20.00	20.00	80.00	80.00	45.72	35.62	3	2.5	2	2	curved, R=-2.000 km, parallel	straight, parallel	Cu	bunker wall insert
 	27998.0	27999.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	27999.5	28000.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28000.0	28005.0	5.0	air	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28005.0	28005.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28005.5	28013.5	8.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-13	28013.5	28612.5	599.0	optics	GSH2	20.00	20.00	80.00	80.00	35.56	33.30	2.5	2.5	2	2	straight, parallel	straight, parallel	Cu	shutter insert
 	28612.5	28614.5	2.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28614.5	28615.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28615.0	28620.0	5.0	air	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28620.0	28620.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28620.5	28628.0	7.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-14-01	28628.0	28999.0	371.0	optics	GE2AS	20.00	20.00	80.00	80.00	33.24	31.85	2.5	2.5	2	2	straight, parallel	straight, parallel	Cu	shutter pit insert, parallel
 	28999.0	29000.0	1.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-14-02	29000.0	31357.9	2357.9	optics	GE2A	20.00	29.99	80.00	80.00	31.84	22.97	2.5	2.5	2	2	ellipse(a:11547, b:20, ctr:39000), expanding	straight, parallel	Cu	shutter pit insert, elliptic
 	31357.9	31360.0	2.1	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-15	31360.0	38997.7	7637.7	optics	GE2B	29.99	40.00	80.00	80.00	22.96	-5.79	2.5	2.5	2	2	ellipse(a:11547, b:20, ctr:39000), expanding	straight, parallel	NBK-7	 
 	38997.7	39001.3	3.6	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-16	39001.3	79950.0	40948.7	optics	GT1	40.00	40.00	80.00	80.00	-5.80	-118.01	2	2.5	2	2	curved, R=20.000 km, parallel	straight, parallel	NBK-7	transport guide before chopper
 	79950.0	79970.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
FC2A	79970.0	79980.0	10.0	chopper	FC2A	40.00	 	80.00	 	-118.05	 	 	 	 	 	 	 	 	wavelength frame definition, fmax=14 Hz, win=175 deg
 	79980.0	80020.0	40.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
FC2B	80020.0	80030.0	10.0	chopper	FC2B	40.00	 	80.00	 	-118.13	 	 	 	 	 	 	 	 	UPGRADE, wavelength frame definition, fmax=14 Hz, win=85 deg
 	80030.0	80055.0	25.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-17	80055.0	144498.1	64443.1	optics	GT2	40.00	40.00	80.00	80.00	-118.19	-124.64	2	2.5	2	2	curved, R=20.000 km, parallel	straight, parallel	NBK-7	transport guide after chopper
 	144498.1	144500.0	1.9	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-18	144500.0	151979.9	7479.9	optics	GF1	40.00	40.00	80.00	66.56	-124.64	-113.33	2.5	2.5	3	3	straight, parallel	ellipse(a:13484, b:40, ctr:144500), convergent	NBK-7	 
 	151979.9	151990.0	10.1	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SL1	151990.0	152010.0	20.0	slit	SL1	40.00	 	66.48	 	-113.30	 	 	 	 	 	 	 	 	Adjustable diaphragm
 	152010.0	152025.0	15.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-19	152025.0	154980.0	2955.0	optics	GF2	40.00	40.00	66.38	50.34	-113.26	-108.80	2.5	2.5	4	4	straight, parallel	ellipse(a:13484, b:40, ctr:144500), convergent	NBK-7	L/R mirror only 0 .. 2500 mm, then absorbing
 	154980.0	154990.0	10.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SL2	154990.0	155010.0	20.0	slit	SL2	40.00	 	50.19	 	-108.77	 	 	 	 	 	 	 	 	Adjustable diaphragm
 	155010.0	155024.9	14.9	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-19M	155024.9	155117.9	93.0	optics	GMINI	40.00	40.00	50.01	49.31	-108.73	-108.59	0	0	5	5	straight, parallel	straight, convergent	NBK-7	mini guide at SL2
 	155117.9	155119.5	1.6	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	155119.5	155120.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	155120.0	155125.5	5.5	air	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	155125.5	155126.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	155126.0	155133.0	7.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-20-01	155133.0	157000.0	1867.0	optics	GEX1	40.00	40.00	49.20	30.00	-108.57	-105.75	0	0	5	5	straight, parallel	ellipse(a:13484, b:40, ctr:144500), convergent	NBK-7	Focusing guide on exchanger
W02-20-02	155133.0	157000.0	1867.0	optics	GEX2	40.00	40.00	50.00	50.00	-108.57	-105.75	0	0	0	0	straight, parallel	straight, parallel	NBK-7	Collimator on exchanger
 	157000.0	157001.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	157001.5	157002.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	157002.0	157948.0	946.0	air	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SL3	157948.0	157952.0	4.0	slit	SL3	10.00	 	20.00	 	-104.31	 	 	 	 	 	 	 	 	Sample input slit, adjustable distance and size
 	157952.0	158000.0	48.0	air	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	158000.0	 	 	sample	 	 	 	 	 	-104.24	 	 	 	 	 	 	 	 	Sample axis
