# Generated with BEERcomponents.py
# Date:	May 14, 2019, 16:48:06
# Version:	1.4
ID	start	end	length	type	name	w1	w2	h1	h2	ctr1	ctr2	mL	mR	mT	mB	geomH	geomV	comment
W02-13	28222.0	28918.0	696.0	optics	GSH2	20.00	20.00	80.00	80.00	34.77	32.15	2.5	2.5	2	2	straight, parallel	straight, parallel	shutter insert
 	28918.0	28919.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28919.5	28920.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28920.0	28940.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28940.0	28940.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	28940.5	28942.0	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-14	28942.0	30799.0	1857.0	optics	GE2A	20.00	28.16	80.00	80.00	32.06	25.07	2.5	2.5	2	2	ellipse(a:11547, b:20, ctr:39000), expanding	straight, parallel	shutter wall insert
 	30799.0	30800.0	1.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-15	30800.0	38999.0	8199.0	optics	GE2B	28.16	40.00	80.00	80.00	25.07	-5.79	2.5	2.5	2	2	ellipse(a:11547, b:20, ctr:39000), expanding	straight, parallel	 
 	38999.0	39000.0	1.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-16	39000.0	79950.0	40950.0	optics	GT1	40.00	40.00	80.00	80.00	-5.79	-118.01	2	2.5	2	2	curved, R=20.000 km, parallel	straight, parallel	transport guide before chopper
 	79950.0	79970.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
FC2A	79970.0	79980.0	10.0	chopper	FC2A	40.00	 	80.00	 	-118.05	 	 	 	 	 	 	 	WFD, fmax:  14 HZ, window: 180 deg, fmax=14 Hz, win=180 deg
 	79980.0	80020.0	40.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
FC2B	80020.0	80030.0	10.0	chopper	FC2B	40.00	 	80.00	 	-118.13	 	 	 	 	 	 	 	UPGRADE, WFD, fmax:  7 HZ, window: 90 deg, fmax=7 Hz, win=90 deg
 	80030.0	80050.0	20.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-17	80050.0	144499.0	64449.0	optics	GT2	40.00	40.00	80.00	80.00	-118.18	-124.64	2	2.5	2	2	curved, R=20.000 km, parallel	straight, parallel	transport guide after chopper
 	144499.0	144500.0	1.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-18	144500.0	151985.0	7485.0	optics	GF1	40.00	40.00	80.00	66.54	-124.64	-113.33	2.5	2.5	3	3	straight, parallel	ellipse(a:13484, b:40, ctr:144500), convergent	 
 	151985.0	151990.0	5.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SL1	151990.0	152010.0	20.0	slit	SL1	40.00	 	66.48	 	-113.30	 	 	 	 	 	 	 	Adjustable diaphragm
 	152010.0	152015.0	5.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-19	152015.0	154985.0	2970.0	optics	GF2	40.00	40.00	66.42	50.30	-113.28	-108.79	2.5	2.5	4	4	straight, parallel	ellipse(a:13484, b:40, ctr:144500), convergent	L/R mirror only 0 .. 2500 mm, then absorbing
 	154985.0	154990.0	5.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SL2	154990.0	155010.0	20.0	slit	SL2	40.00	 	50.19	 	-108.77	 	 	 	 	 	 	 	Adjustable diaphragm
 	155010.0	155015.0	5.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	155015.0	155015.5	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	155015.5	155025.5	10.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	155025.5	155026.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	155026.0	155027.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
W02-20-01	155027.5	157000.0	1972.5	optics	GEX1	40.00	40.00	49.99	30.00	-108.73	-105.75	0	0	5	5	straight, parallel	ellipse(a:13484, b:40, ctr:144500), convergent	Focusing guide on exchanger
W02-20-02	155027.5	157000.0	1972.5	optics	GEX2	40.00	40.00	49.99	49.99	-108.73	-105.75	0	0	0	0	straight, parallel	straight, parallel	Collimator on exchanger
 	157000.0	157001.5	1.5	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	157001.5	157002.0	0.5	window	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	157002.0	157940.0	938.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
SL3	157940.0	157960.0	20.0	slit	SL3	40.00	 	5.61	 	-104.31	 	 	 	 	 	 	 	Sample input slit, adjustable distance and size
 	157960.0	158000.0	40.0	gap	 	 	 	 	 	 	 	 	 	 	 	 	 	 
 	158000.0	 	 	sample	 	 	 	 	 	-104.24	 	 	 	 	 	 	 	Sample axis
