# x_tcs	y_tcs	z_tcs	x_w2	y_w2	z_w2	x_iscs	y_iscs	z_iscs
-11502.49859	8146.83084	137.00000	13999.82904	39.30355	0.00000	14000.00000	-4.00000	0.00000
-11584.29764	8204.35437	137.00000	14099.82872	39.62465	0.00000	14100.00000	-4.20250	0.00000
-11666.09383	8261.88198	137.00000	14199.82844	39.94075	0.00000	14200.00000	-4.41000	0.00000
-11747.88715	8319.41370	137.00000	14299.82818	40.25185	0.00000	14300.00000	-4.62250	0.00000
-11829.67760	8376.94951	137.00000	14399.82795	40.55795	0.00000	14400.00000	-4.84000	0.00000
-11911.46518	8434.48941	137.00000	14499.82774	40.85904	0.00000	14500.00000	-5.06250	0.00000
-11993.24990	8492.03341	137.00000	14599.82757	41.15514	0.00000	14600.00000	-5.29000	0.00000
-12075.03175	8549.58151	137.00000	14699.82741	41.44624	0.00000	14700.00000	-5.52250	0.00000
-12156.81073	8607.13370	137.00000	14799.82728	41.73234	0.00000	14800.00000	-5.76000	0.00000
-12238.58684	8664.68999	137.00000	14899.82718	42.01344	0.00000	14900.00000	-6.00250	0.00000
-12320.36008	8722.25037	137.00000	14999.82711	42.28954	0.00000	15000.00000	-6.25000	0.00000
-12402.13046	8779.81485	137.00000	15099.82706	42.56064	0.00000	15100.00000	-6.50250	0.00000
-12483.89797	8837.38343	137.00000	15199.82704	42.82674	0.00000	15200.00000	-6.76000	0.00000
-12565.66261	8894.95610	137.00000	15299.82704	43.08784	0.00000	15300.00000	-7.02250	0.00000
-12647.42438	8952.53287	137.00000	15399.82707	43.34394	0.00000	15400.00000	-7.29000	0.00000
-12729.18329	9010.11373	137.00000	15499.82713	43.59504	0.00000	15500.00000	-7.56250	0.00000
-12810.93932	9067.69869	137.00000	15599.82721	43.84114	0.00000	15600.00000	-7.84000	0.00000
-12892.69249	9125.28774	137.00000	15699.82732	44.08224	0.00000	15700.00000	-8.12250	0.00000
-12974.44279	9182.88089	137.00000	15799.82745	44.31834	0.00000	15800.00000	-8.41000	0.00000
-13056.19023	9240.47814	137.00000	15899.82761	44.54944	0.00000	15900.00000	-8.70250	0.00000
-13137.93479	9298.07948	137.00000	15999.82780	44.77554	0.00000	16000.00000	-9.00000	0.00000
-13219.67649	9355.68491	137.00000	16099.82801	44.99665	0.00000	16100.00000	-9.30250	0.00000
-13301.41532	9413.29445	137.00000	16199.82825	45.21275	0.00000	16200.00000	-9.61000	0.00000
